,index,name,number_of_comment,brand,Negative,Positive,price,volume(l),number_of_door,rank_point,rank
132,139,Tủ lạnh Sharp Inverter 150 lít SJ-X176E-SL ,4,Sharp,0.15121122376086124,0.8487887762391386,3989000.0,161.75,2.0,3.3951551049565545,244
133,141,Tủ Lạnh Inverter Mitsubishi MR-CX46EJ (358L) - Hàng chính hãng ,3,Mitsubishi,0.08197105981318821,0.9180289401868119,13690000.0,383.0,3.0,2.7540868205604356,124
134,142,Tủ lạnh Hitachi Inverter 569 lít R-WB640VGV0 GBK - HÀNG CHÍNH HÃNG ,1,Hitachi,0.15121122376086124,0.8487887762391386,31990000.0,569.0,4.0,0.8487887762391386,33
135,143,Tủ Lạnh Inverter Mitsubishi MR-CX41EJ-BRW-V (326 lít) - Hàng chính hãng ,8,Mitsubishi,0.168946372221619,0.8310536277783811,12239000.0,345.5,3.0,6.648429022227049,197
136,144,Tủ lạnh Inverter LG GN-B222WB (209L) - Hàng chính hãng - Chỉ giao tại HCM ,6,LG,0.23703185899120807,0.7629681410087917,5199000.0,209.0,2.0,4.577808846052751,236
137,145,Tủ lạnh mini Baseus dung tích 8L - Hàng chính hãng ,4,Baseus,0.5931785002932513,0.4068214997067488,2050000.0,51.0,1.0,1.6272859988269952,265
138,146,Tủ Lạnh Inverter Electrolux ETB4600B-G (431L) - Hàng Chính Hãng (Vàng) ,1,Electrolux,0.03769794375496511,0.9623020562450351,12150000.0,460.0,2.25,0.9623020562450351,67
139,147,Tủ Lạnh Inverter Sharp SJ-X281E-DS (253L) - Hàng chính hãng ,2,Sharp,0.15121122376086124,0.8487887762391386,5379000.0,271.0,2.0,1.6975775524782772,174
140,151,Tủ Lạnh Inverter Toshiba GR-AG58VA-XK (555L) - Hàng chính hãng ,5,Toshiba,0.2547127743109707,0.7452872256890292,15250000.0,599.25,2.0,3.7264361284451457,47
141,153,Tủ lạnh Inverter Panasonic NR-BX410WKVN (368L)- Hàng chính hãng - Chỉ giao tại Hà Nội ,3,Panasonic,0.21311767452893526,0.7868823254710647,15490000.0,368.0,180.75,2.3606469764131943,98
