,index,name,brand,price,number_of_comment,hardware_size(GB),RAM(GB),display(inch),Negative,Positive,rank
77,77,"Laptop HP Pavilion 15-cs3015TU 8QP15PA (Core i5-1035G1/ 4GB DDR4 2666MHz/ 256GB PCIe NVMe/ 15.6"" FHD IPS/ Win10) - Hàng Chính Hãng ",HP,14950000.0,5.0,256.0,4.0,15.6,0.2850442218313954,0.7149557781686047,193
78,78,"LapTop Lenovo ThinkBook 14 IIL - 20SL00MFVN | Intel Core i5 _ 1035G1 | 8GB | 512GB SSD PCIe | VGA INTEL | Win 10 Bản Quyền | 14"" Full HD | Hàng Chính Hãng ",Lenovo,15399000.0,0.0,512.0,8.0,14.64,0.5,0.5,37
79,79,Laptop Lenovo Legion 5 15IMH05 82AU004XVN (Core i5-10300H/ 8GB DDR4 2933MHz/ 512GB SSD PCIE G3X4/ GTX 1650 4GB GDDR6/ 15.6 FHD IPS  120Hz/ Win10) - Hàng Chính Hãng ,Lenovo,23439000.0,0.0,512.0,8.0,15.6,0.5,0.5,17
80,80,Laptop HP 348 G7 9PH16PA (Core i7-10510U/ 8GB DDR4 2666MHz/ 512GB M.2 PCIe NVMe/ 14 FHD IPS/ Free Dos) - Hàng Chính Hãng ,HP,17990000.0,2.0,512.0,8.0,14.0,0.19962745981734825,0.8003725401826518,90
81,81,Laptop Acer Aspire 5 A514-53-50P9 NX.HUSSV.004 (Core i5-1035G1/ 8GB RAM/ 512GB SSD/ 14 FHD/ Win 10) - Hàng Chính Hãng ,Acer,15789000.0,2.0,512.0,8.0,14.0,0.14995900680293864,0.8500409931970615,96
82,82,Laptop Dell Inspiron 7490 N4I5106W (Core i5-10210U/ 8GB LPDDR3 2133MHz/ 512GB PCIe NVMe/ MX250 2GB/ 14 FHD/ Win10) - Hàng Chính Hãng ,Dell,25189000.0,0.0,512.0,8.0,14.0,0.5,0.5,47
83,83,Laptop HP 348 G7 9PH09PA (Core i7-10510U/ 8GB DDR4 2666MHz/ 256GB M.2 PCIe NVMe/ 14 FHD IPS/ Win10) - Hàng Chính Hãng ,HP,16599000.0,0.0,256.0,8.0,14.0,0.5,0.5,137
84,84,Laptop Asus TUF Gaming A15 FA506IV-HN202T (AMD R7-4800H/ 16GB (8GB x2) DDR4 3200MHz/ 1TB PCIe Gen3 SSD/ RTX 2060 6GB/ 15.6 FHD IPS  144Hz/ Win10) - Hàng Chính Hãng ,Asus,30499000.0,3.0,1.0,16.0,15.6,0.38489614010217416,0.6151038598978259,226
85,85,Laptop Acer Nitro 5 2020 AN515-55-5923 NH.Q7NSV.004 (Core i5-10300H/ 8GB DDR4 3200MHz/ 512GB SSD M.2 PCIE/ GTX 1650Ti 4GB GDDR6/ 15.6 FHD IPS  144Hz/ Win10) - Hàng Chính Hãng ,Acer,22199000.0,0.0,512.0,8.0,15.6,0.5,0.5,18
86,86,Laptop Asus X509JP-EJ013T (Core i5-1035G1/ 4GB DDR4 2400MHz/ 512GB SSD PCIE/ MX330 2GB/ 15.6 FHD/ Win10) - Hàng Chính Hãng ,Asus,14999000.0,1.0,512.0,4.0,15.6,0.14995900680293864,0.8500409931970615,92
87,87,Laptop HP 15s-fq1022TU 8VY75PA (Core i7-1065G7/ 8GB DDR4 2666MHz/ 512GB PCIe NVMe/ 15.6 FHD/ Win10) - Hàng Chính Hãng ,HP,17490000.0,17.0,512.0,8.0,15.6,0.1679800401832401,0.8320199598167602,115
88,88,Laptop Lenovo IdeaPad S145-14IIL 81W6001GVN (Core i3-1005G1/ 4GB DDR4 2666MHz/ 256GB SSD M.2/ 14FHD/ Win10) - Hàng Chính Hãng ,Lenovo,10200000.0,1.0,256.0,4.0,14.0,0.5075899926958548,0.49241000730414525,170
89,89,Laptop Asus VivoBook S15 S533EA-BQ016T (Core i5-1135G7/ 8GB DDR4 3200MHz/ 512GB SSD M.2 PCIE G3X2/ 15.6 FHD IPS/ Win10) - Hàng Chính Hãng ,Asus,18289000.0,1.0,512.0,8.0,15.6,0.14995900680293864,0.8500409931970615,85
90,90,Laptop Dell Vostro 3405 V4R33250U501W (AMD R3-3250U/ 4GB RAM/ 1TB HDD/ 14 HD/ Win10) - Hàng Chính Hãng ,Dell,9329000.0,0.0,1.0,4.0,14.0,0.5,0.5,240
91,91,"Laptop HP Pavilion Gaming 15-dk1075TX  Core i7-10750H  8GB RAM  512GB SSD  GeForce GTX 1650Ti 4GB  15.6""FHD  Win 10 Home_1K3V0PA - Hàng Chính Hãng ",HP,25490000.0,0.0,409.8,9.6,14.959999999999999,0.5,0.5,112
92,92,Laptop MSI Modern 14 B11M-073VN (Core i7-1165G7/ 8GB DDR4 3200MHz/ 512GB PCIe NVMe/ 14 FHD IPS/ Win10) - Hàng Chính Hãng ,MSI,20999000.0,0.0,512.0,8.0,14.0,0.5,0.5,48
93,93,Apple Macbook Pro Touch Bar 2019 MV962 - 13 s (i5/ 8GB/ 256GB) - Hàng Chính Hãng ,Apple,44450000.0,0.0,460.8,256.0,13.3,0.5,0.5,2
